time,edge,vehicles,speed,waiting,halting,traveltime,congestion
1,N2C,1,13.89,0.0,0,17.25,0.006
1,S2C,1,13.4615,0.0,0,17.8,0.0122
1,E2C,1,13.89,0.0,0,17.25,0.006
1,W2C,1,13.89,0.0,0,17.25,0.006
2,N2C,1,13.2784,0.0,0,18.04,0.0148
2,S2C,1,13.0561,0.0,0,18.35,0.018
2,E2C,1,13.5495,0.0,0,17.68,0.0109
2,W2C,1,13.4471,0.0,0,17.82,0.0124
3,N2C,1,13.2541,0.0,0,18.08,0.0152
3,S2C,1,13.2147,0.0,0,18.13,0.0157
3,E2C,1,13.4511,0.0,0,17.81,0.0123
3,W2C,1,13.8511,0.0,0,17.3,0.0066
4,N2C,1,13.3091,0.0,0,18.0,0.0144
4,S2C,1,12.8743,0.0,0,18.61,0.0206
4,E2C,1,13.5912,0.0,0,17.63,0.0103
4,W2C,1,13.602,0.0,0,17.61,0.0101
5,N2C,1,13.8625,0.0,0,17.28,0.0064
5,S2C,1,13.3115,0.0,0,18.0,0.0143
5,E2C,1,13.8108,0.0,0,17.35,0.0071
5,W2C,1,13.2412,0.0,0,18.09,0.0153
6,N2C,1,13.8031,0.0,0,17.36,0.0073
6,S2C,1,12.8839,0.0,0,18.6,0.0205
6,E2C,1,13.6898,0.0,0,17.5,0.0089
6,W2C,1,13.3881,0.0,0,17.9,0.0132
7,N2C,1,13.4333,0.0,0,17.84,0.0126
7,S2C,1,13.1676,0.0,0,18.2,0.0164
7,E2C,1,13.5311,0.0,0,17.71,0.0112
7,W2C,1,13.2565,0.0,0,18.07,0.0151
8,N2C,1,13.3396,0.0,0,17.96,0.0139
8,S2C,1,13.4053,0.0,0,17.87,0.013
8,E2C,1,13.7234,0.0,0,17.46,0.0084
8,W2C,1,13.3824,0.0,0,17.9,0.0133
9,N2C,1,13.6171,0.0,0,17.6,0.0099
9,S2C,1,13.2033,0.0,0,18.15,0.0159
9,E2C,1,13.5333,0.0,0,17.7,0.0111
9,W2C,1,13.3384,0.0,0,17.96,0.0139
10,N2C,1,13.5008,0.0,0,17.75,0.0116
10,S2C,1,12.9316,0.0,0,18.53,0.0198
10,E2C,1,13.8527,0.0,0,17.3,0.0065
10,W2C,1,13.2612,0.0,0,18.07,0.0151
11,N2C,1,13.3875,0.0,0,17.9,0.0132
11,S2C,1,13.4552,0.0,0,17.81,0.0123
11,E2C,1,13.4579,0.0,0,17.8,0.0122
11,W2C,1,13.8313,0.0,0,17.32,0.0068
12,N2C,1,13.3523,0.0,0,17.94,0.0137
12,S2C,1,13.1457,0.0,0,18.23,0.0167
12,E2C,1,13.47,0.0,0,17.79,0.012
12,W2C,1,13.733,0.0,0,17.45,0.0083
13,N2C,1,13.5803,0.0,0,17.64,0.0105
13,S2C,1,13.1522,0.0,0,18.22,0.0166
13,E2C,1,13.6361,0.0,0,17.57,0.0097
13,W2C,1,13.3179,0.0,0,17.99,0.0142
14,N2C,1,13.5555,0.0,0,17.68,0.0108
14,S2C,1,13.0873,0.0,0,18.31,0.0176
14,E2C,1,13.4315,0.0,0,17.84,0.0126
14,W2C,1,13.6685,0.0,0,17.53,0.0092
15,N2C,1,13.7014,0.0,0,17.49,0.0087
15,S2C,1,13.4205,0.0,0,17.85,0.0128
15,E2C,1,13.4455,0.0,0,17.82,0.0124
15,W2C,1,13.7735,0.0,0,17.4,0.0077
16,N2C,1,13.2802,0.0,0,18.04,0.0148
16,S2C,1,13.2428,0.0,0,18.09,0.0153
16,E2C,1,13.6601,0.0,0,17.54,0.0093
16,W2C,1,13.8344,0.0,0,17.32,0.0068
17,N2C,1,13.8643,0.0,0,17.28,0.0064
17,S2C,1,12.8969,0.0,0,18.58,0.0203
17,E2C,1,13.2853,0.0,0,18.03,0.0147
17,W2C,1,13.3021,0.0,0,18.01,0.0145
18,N2C,1,13.7699,0.0,0,17.4,0.0077
18,S2C,1,13.1691,0.0,0,18.19,0.0164
18,E2C,1,12.225,0.0,0,19.6,0.03
18,W2C,1,12.8146,0.0,0,18.7,0.0215
19,N2C,1,13.89,0.0,0,17.25,0.006
19,S2C,2,11.8497,0.0,0,20.22,0.0414
19,E2C,2,10.3329,0.0,0,23.19,0.0632
19,W2C,2,9.7729,0.0,0,24.52,0.0713
20,N2C,1,13.3663,0.0,0,17.93,0.0135
20,S2C,1,12.075,0.0,0,19.84,0.0321
20,E2C,2,8.3062,0.0,0,28.85,0.0924
20,W2C,2,7.2841,0.0,0,32.89,0.1071
21,N2C,1,13.4851,0.0,0,17.77,0.0118
21,S2C,1,12.3571,0.0,0,19.39,0.0281
21,E2C,2,7.1762,0.0,0,33.39,0.1087
21,W2C,2,6.2213,0.0,0,38.51,0.1224
22,N2C,1,13.7551,0.0,0,17.42,0.0079
22,S2C,1,12.4281,0.0,0,19.28,0.027
22,E2C,2,6.4374,0.0,0,37.22,0.1193
22,W2C,2,5.8471,0.0,0,40.98,0.1278
23,N2C,1,13.8611,0.0,0,17.29,0.0064
23,S2C,1,12.2556,0.0,0,19.55,0.0295
23,E2C,2,6.6473,0.0,0,36.04,0.1163
23,W2C,2,5.7964,1.0,1,41.34,0.1352
24,N2C,1,13.6324,0.0,0,17.58,0.0097
24,S2C,1,12.5611,0.0,0,19.07,0.0251
24,E2C,2,6.3712,1.0,1,37.61,0.1269
24,W2C,2,5.5649,2.0,1,43.06,0.1392
25,N2C,1,13.8574,0.0,0,17.29,0.0065
25,S2C,1,12.5015,0.0,0,19.17,0.026
25,E2C,2,6.7308,2.0,1,35.6,0.1224
