time,edge,vehicles,speed,waiting,halting,traveltime,congestion
1,N2C,1,13.89,0.0,0,17.25,0.006
1,S2C,1,13.4615,0.0,0,17.8,0.0122
1,E2C,1,13.89,0.0,0,17.25,0.006
1,W2C,1,13.89,0.0,0,17.25,0.006
2,N2C,1,13.2784,0.0,0,18.04,0.0148
2,S2C,1,13.0561,0.0,0,18.35,0.018
2,E2C,1,13.5495,0.0,0,17.68,0.0109
2,W2C,1,13.4471,0.0,0,17.82,0.0124
3,N2C,1,13.2541,0.0,0,18.08,0.0152
3,S2C,1,13.2147,0.0,0,18.13,0.0157
3,E2C,1,13.4511,0.0,0,17.81,0.0123
3,W2C,1,13.8511,0.0,0,17.3,0.0066
4,N2C,1,13.3091,0.0,0,18.0,0.0144
4,S2C,1,12.8743,0.0,0,18.61,0.0206
4,E2C,1,13.5912,0.0,0,17.63,0.0103
4,W2C,1,13.602,0.0,0,17.61,0.0101
5,N2C,1,13.8625,0.0,0,17.28,0.0064
5,S2C,1,13.3115,0.0,0,18.0,0.0143
5,E2C,1,13.8108,0.0,0,17.35,0.0071
5,W2C,1,13.2412,0.0,0,18.09,0.0153
6,N2C,1,13.8031,0.0,0,17.36,0.0073
6,S2C,1,12.8839,0.0,0,18.6,0.0205
6,E2C,1,13.6898,0.0,0,17.5,0.0089
6,W2C,1,13.3881,0.0,0,17.9,0.0132
7,N2C,1,13.4333,0.0,0,17.84,0.0126
7,S2C,1,13.1676,0.0,0,18.2,0.0164
7,E2C,1,13.5311,0.0,0,17.71,0.0112
7,W2C,1,13.2565,0.0,0,18.07,0.0151
8,N2C,1,13.3396,0.0,0,17.96,0.0139
8,S2C,1,13.4053,0.0,0,17.87,0.013
8,E2C,1,13.7234,0.0,0,17.46,0.0084
8,W2C,1,13.3824,0.0,0,17.9,0.0133
9,N2C,1,13.6171,0.0,0,17.6,0.0099
9,S2C,1,13.2033,0.0,0,18.15,0.0159
9,E2C,1,13.5333,0.0,0,17.7,0.0111
9,W2C,1,13.3384,0.0,0,17.96,0.0139
10,N2C,2,13.5008,0.0,0,17.75,0.0176
10,S2C,2,11.7579,0.0,0,20.38,0.0427
10,E2C,2,13.8527,0.0,0,17.3,0.0125
10,W2C,2,12.4695,0.0,0,19.21,0.0325
11,N2C,2,13.3646,0.0,0,17.93,0.0196
11,S2C,2,11.6402,0.0,0,20.58,0.0444
11,E2C,2,13.1486,0.0,0,18.22,0.0227
11,W2C,2,12.4318,0.0,0,19.27,0.033
12,N2C,2,13.3151,0.0,0,17.99,0.0203
12,S2C,2,11.6128,0.0,0,20.63,0.0448
12,E2C,2,13.2735,0.0,0,18.05,0.0209
12,W2C,2,12.4819,0.0,0,19.2,0.0323
13,N2C,2,13.2765,0.0,0,18.05,0.0208
13,S2C,2,11.6903,0.0,0,20.5,0.0437
13,E2C,2,13.002,0.0,0,18.43,0.0248
13,W2C,2,12.0862,0.0,0,19.82,0.038
14,N2C,2,13.3462,0.0,0,17.95,0.0198
14,S2C,2,11.4529,0.0,0,20.92,0.0471
14,E2C,2,13.0364,0.0,0,18.38,0.0243
14,W2C,2,12.5188,0.0,0,19.14,0.0317
15,N2C,2,13.6037,0.0,0,17.61,0.0161
15,S2C,2,12.0916,0.0,0,19.82,0.0379
15,E2C,2,12.8659,0.0,0,18.62,0.0267
15,W2C,2,12.3931,0.0,0,19.33,0.0336
16,N2C,2,12.9833,0.0,0,18.45,0.0251
16,S2C,2,11.8543,0.0,0,20.21,0.0413
16,E2C,2,13.4423,0.0,0,17.82,0.0184
16,W2C,2,12.7905,0.0,0,18.73,0.0278
17,N2C,2,13.7418,0.0,0,17.44,0.0141
17,S2C,2,11.6648,0.0,0,20.54,0.044
17,E2C,2,13.2184,0.0,0,18.13,0.0217
17,W2C,2,12.4619,0.0,0,19.23,0.0326
18,N2C,2,13.6515,0.0,0,17.55,0.0154
18,S2C,2,12.3353,0.0,0,19.42,0.0344
18,E2C,2,11.6795,0.0,0,20.51,0.0438
18,W2C,2,11.5717,0.0,0,20.71,0.0454
19,N2C,2,13.2667,0.0,0,18.06,0.021
19,S2C,3,11.5773,0.0,0,20.7,0.0513
19,E2C,3,11.4005,0.0,0,21.02,0.0538
19,W2C,3,10.7176,0.0,0,22.36,0.0637
20,N2C,2,12.7532,0.0,0,18.79,0.0284
20,S2C,2,11.4259,0.0,0,20.97,0.0475
20,E2C,3,9.9549,0.0,0,24.07,0.0747
20,W2C,3,9.6569,0.0,0,24.81,0.079
21,N2C,2,12.8535,0.0,0,18.64,0.0269
21,S2C,2,11.4563,0.0,0,20.91,0.047
21,E2C,3,9.1864,0.0,0,26.08,0.0857
21,W2C,3,8.7578,0.0,0,27.36,0.0919
22,N2C,2,13.1377,0.0,0,18.24,0.0228
22,S2C,2,11.4294,0.0,0,20.96,0.0474
22,E2C,3,8.9319,0.0,0,26.83,0.0894
22,W2C,3,8.2015,1.0,1,29.21,0.1066
23,N2C,2,12.8778,0.0,0,18.61,0.0266
23,S2C,2,11.2643,0.0,0,21.27,0.0498
23,E2C,3,8.8393,0.0,0,27.11,0.0907
23,W2C,3,8.416,2.0,1,28.47,0.1042
24,N2C,2,12.9651,0.0,0,18.48,0.0253
24,S2C,2,10.9101,0.0,0,21.96,0.0549
24,E2C,3,9.1101,0.0,0,26.3,0.0868
24,W2C,3,8.2669,3.0,1,28.98,0.107
25,N2C,2,13.1628,0.0,0,18.2,0.0225
25,S2C,2,11.1553,0.0,0,21.48,0.0514
25,E2C,3,9.0597,1.0,1,26.45,0.0942
