time,edge,vehicles,speed,waiting,halting,traveltime,congestion
1,N2C,1,13.89,0.0,0,17.25,0.006
1,S2C,1,13.4615,0.0,0,17.8,0.0122
1,E2C,1,13.89,0.0,0,17.25,0.006
1,W2C,1,13.89,0.0,0,17.25,0.006
2,N2C,1,13.2784,0.0,0,18.04,0.0148
2,S2C,1,13.0561,0.0,0,18.35,0.018
2,E2C,1,13.5495,0.0,0,17.68,0.0109
2,W2C,1,13.4471,0.0,0,17.82,0.0124
3,N2C,1,13.2541,0.0,0,18.08,0.0152
3,S2C,1,13.2147,0.0,0,18.13,0.0157
3,E2C,1,13.4511,0.0,0,17.81,0.0123
3,W2C,1,13.8511,0.0,0,17.3,0.0066
4,N2C,1,13.3091,0.0,0,18.0,0.0144
4,S2C,1,12.8743,0.0,0,18.61,0.0206
4,E2C,1,13.5912,0.0,0,17.63,0.0103
4,W2C,1,13.602,0.0,0,17.61,0.0101
5,N2C,1,13.8625,0.0,0,17.28,0.0064
5,S2C,1,13.3115,0.0,0,18.0,0.0143
5,E2C,1,13.8108,0.0,0,17.35,0.0071
5,W2C,1,13.2412,0.0,0,18.09,0.0153
6,N2C,2,13.8031,0.0,0,17.36,0.0133
6,S2C,2,11.7102,0.0,0,20.46,0.0434
6,E2C,2,13.6898,0.0,0,17.5,0.0149
6,W2C,2,12.5964,0.0,0,19.02,0.0306
7,N2C,2,13.4104,0.0,0,17.87,0.0189
7,S2C,2,11.3526,0.0,0,21.11,0.0485
7,E2C,2,13.2218,0.0,0,18.12,0.0216
7,W2C,2,11.8569,0.0,0,20.21,0.0413
8,N2C,2,13.3023,0.0,0,18.01,0.0205
8,S2C,2,11.8723,0.0,0,20.18,0.0411
8,E2C,2,13.5268,0.0,0,17.71,0.0172
8,W2C,2,12.1313,0.0,0,19.75,0.0373
9,N2C,2,13.3133,0.0,0,18.0,0.0203
9,S2C,2,11.7414,0.0,0,20.41,0.0429
9,E2C,2,12.8992,0.0,0,18.57,0.0263
9,W2C,2,12.1066,0.0,0,19.79,0.0377
10,N2C,3,13.2035,0.0,0,18.15,0.0279
10,S2C,3,11.499,0.0,0,20.84,0.0524
10,E2C,3,13.6017,0.0,0,17.62,0.0222
10,W2C,3,12.7044,0.0,0,18.86,0.0351
11,N2C,3,12.8438,0.0,0,18.65,0.0331
11,S2C,3,11.8411,0.0,0,20.23,0.0475
11,E2C,3,12.9356,0.0,0,18.52,0.0317
11,W2C,3,12.8259,0.0,0,18.68,0.0333
12,N2C,3,12.9751,0.0,0,18.47,0.0312
12,S2C,3,11.5604,0.0,0,20.73,0.0515
12,E2C,3,13.2698,0.0,0,18.06,0.0269
12,W2C,3,12.665,0.0,0,18.92,0.0356
13,N2C,3,12.9886,0.0,0,18.45,0.031
13,S2C,3,11.9473,0.0,0,20.05,0.046
13,E2C,3,13.3958,0.0,0,17.89,0.0251
13,W2C,3,13.2152,0.0,0,18.13,0.0277
14,N2C,3,13.4264,0.0,0,17.85,0.0247
14,S2C,3,11.9448,0.0,0,20.06,0.046
14,E2C,3,12.6987,0.0,0,18.87,0.0352
14,W2C,3,12.4401,0.0,0,19.26,0.0389
15,N2C,4,13.1579,0.0,0,18.21,0.0345
15,S2C,4,12.0678,0.0,0,19.85,0.0502
15,E2C,4,13.1619,0.0,0,18.2,0.0345
15,W2C,4,12.3391,0.0,0,19.42,0.0463
16,N2C,4,13.2134,0.0,0,18.13,0.0337
16,S2C,4,12.2687,0.0,0,19.53,0.0473
16,E2C,4,13.0741,0.0,0,18.33,0.0357
16,W2C,4,12.9562,0.0,0,18.49,0.0374
17,N2C,4,13.1621,0.0,0,18.2,0.0345
17,S2C,4,12.0242,0.0,0,19.93,0.0509
17,E2C,4,13.1352,0.0,0,18.24,0.0349
17,W2C,4,12.4136,0.0,0,19.3,0.0453
18,N2C,4,13.2159,0.0,0,18.13,0.0337
18,S2C,4,11.9925,0.0,0,19.98,0.0513
18,E2C,4,12.7811,0.0,0,18.75,0.04
18,W2C,4,12.3832,0.0,0,19.35,0.0457
19,N2C,4,12.5079,0.0,0,19.16,0.0439
19,S2C,5,12.2654,0.0,0,19.53,0.0534
19,E2C,5,11.9981,0.0,0,19.97,0.0572
19,W2C,5,11.8628,0.0,0,20.2,0.0592
20,N2C,4,12.5681,0.0,0,19.06,0.043
20,S2C,5,11.8019,0.0,0,20.3,0.0601
20,E2C,5,11.3951,0.0,0,21.03,0.0659
20,W2C,5,10.9014,0.0,0,21.98,0.073
21,N2C,4,12.687,0.0,0,18.89,0.0413
21,S2C,4,11.6734,0.0,0,20.53,0.0559
21,E2C,5,10.4437,1.0,1,22.94,0.0863
21,W2C,5,10.1966,0.0,0,23.5,0.0832
22,N2C,4,12.6671,0.0,0,18.92,0.0416
22,S2C,4,11.9416,0.0,0,20.06,0.0521
22,E2C,5,10.3671,2.0,1,23.11,0.0881
22,W2C,5,10.2091,1.0,1,23.47,0.0897
23,N2C,4,12.58,0.0,0,19.05,0.0429
23,S2C,4,11.803,0.0,0,20.3,0.0541
23,E2C,5,9.8835,3.0,1,24.24,0.0957
23,W2C,5,10.0364,2.0,1,23.87,0.0928
24,N2C,4,13.0668,0.0,0,18.34,0.0359
24,S2C,5,12.2786,0.0,0,19.51,0.0532
24,E2C,6,9.902,4.0,1,24.2,0.1021
24,W2C,6,10.4037,3.0,1,23.03,0.0942
25,N2C,4,12.5197,0.0,0,19.14,0.0437
25,S2C,5,12.2547,0.0,0,19.55,0.0535
25,E2C,6,9.3533,5.0,1,25.62,0.1107
