time,edge,vehicles,speed,waiting,halting,traveltime,congestion
1,N2C,1,13.89,0.0,0,17.25,0.006
1,S2C,1,13.4615,0.0,0,17.8,0.0122
1,E2C,1,13.89,0.0,0,17.25,0.006
1,W2C,1,13.89,0.0,0,17.25,0.006
2,N2C,1,13.2784,0.0,0,18.04,0.0148
2,S2C,1,13.0561,0.0,0,18.35,0.018
2,E2C,1,13.5495,0.0,0,17.68,0.0109
2,W2C,1,13.4471,0.0,0,17.82,0.0124
3,N2C,1,13.2541,0.0,0,18.08,0.0152
3,S2C,1,13.2147,0.0,0,18.13,0.0157
3,E2C,1,13.4511,0.0,0,17.81,0.0123
3,W2C,1,13.8511,0.0,0,17.3,0.0066
4,N2C,1,13.3091,0.0,0,18.0,0.0144
4,S2C,1,12.8743,0.0,0,18.61,0.0206
4,E2C,1,13.5912,0.0,0,17.63,0.0103
4,W2C,1,13.602,0.0,0,17.61,0.0101
5,N2C,2,13.8625,0.0,0,17.28,0.0124
5,S2C,2,12.1378,0.0,0,19.74,0.0372
5,E2C,2,13.8108,0.0,0,17.35,0.0131
5,W2C,2,12.4495,0.0,0,19.25,0.0327
6,N2C,2,13.7803,0.0,0,17.39,0.0136
6,S2C,2,11.0689,0.0,0,21.65,0.0526
6,E2C,2,13.3805,0.0,0,17.91,0.0193
6,W2C,2,11.9885,0.0,0,19.99,0.0394
7,N2C,2,13.3961,0.0,0,17.89,0.0191
7,S2C,2,11.6346,0.0,0,20.59,0.0445
7,E2C,2,13.3345,0.0,0,17.97,0.02
7,W2C,2,12.0054,0.0,0,19.96,0.0391
8,N2C,2,13.0358,0.0,0,18.38,0.0243
8,S2C,2,11.9434,0.0,0,20.06,0.04
8,E2C,2,13.0892,0.0,0,18.31,0.0235
8,W2C,2,12.1507,0.0,0,19.72,0.037
9,N2C,3,13.281,0.0,0,18.04,0.0268
9,S2C,3,11.68,0.0,0,20.51,0.0498
9,E2C,3,13.3888,0.0,0,17.9,0.0252
9,W2C,3,12.7558,0.0,0,18.78,0.0343
10,N2C,3,12.9428,0.0,0,18.51,0.0316
10,S2C,3,11.6984,0.0,0,20.48,0.0496
10,E2C,3,13.1907,0.0,0,18.16,0.0281
10,W2C,3,12.5114,0.0,0,19.15,0.0379
11,N2C,3,12.8396,0.0,0,18.66,0.0331
11,S2C,3,11.5994,0.0,0,20.66,0.051
11,E2C,3,13.2955,0.0,0,18.02,0.0266
11,W2C,3,12.708,0.0,0,18.85,0.035
12,N2C,4,13.3515,0.0,0,17.95,0.0318
12,S2C,4,12.3552,0.0,0,19.39,0.0461
12,E2C,4,13.3745,0.0,0,17.91,0.0314
12,W2C,4,13.0468,0.0,0,18.36,0.0361
13,N2C,4,13.2014,0.0,0,18.15,0.0339
13,S2C,4,11.8781,0.0,0,20.17,0.053
13,E2C,4,13.0809,0.0,0,18.32,0.0357
13,W2C,4,12.3718,0.0,0,19.37,0.0459
14,N2C,4,13.2646,0.0,0,18.06,0.033
14,S2C,4,11.9316,0.0,0,20.08,0.0522
14,E2C,4,12.9857,0.0,0,18.45,0.037
14,W2C,4,12.6384,0.0,0,18.96,0.042
15,N2C,4,12.841,0.0,0,18.66,0.0391
15,S2C,4,12.3771,0.0,0,19.36,0.0458
15,E2C,4,12.9383,0.0,0,18.52,0.0377
15,W2C,4,12.4756,0.0,0,19.21,0.0444
16,N2C,5,12.969,0.0,0,18.47,0.0433
16,S2C,5,12.2592,0.0,0,19.54,0.0535
16,E2C,5,13.2444,0.0,0,18.09,0.0393
16,W2C,5,12.8732,0.0,0,18.61,0.0446
17,N2C,5,12.8659,0.0,0,18.62,0.0447
17,S2C,5,11.993,0.0,0,19.98,0.0573
17,E2C,5,12.876,0.0,0,18.61,0.0446
17,W2C,5,12.5871,0.0,0,19.04,0.0488
18,N2C,5,12.6579,0.0,0,18.93,0.0477
18,S2C,5,11.9071,0.0,0,20.12,0.0586
18,E2C,5,13.0231,0.0,0,18.4,0.0425
18,W2C,5,12.6087,0.0,0,19.0,0.0484
19,N2C,5,12.9276,0.0,0,18.53,0.0439
19,S2C,6,12.1602,0.0,0,19.7,0.0609
19,E2C,6,12.3428,0.0,0,19.41,0.0583
19,W2C,6,11.8811,0.0,0,20.17,0.0649
20,N2C,5,13.0155,0.0,0,18.41,0.0426
20,S2C,5,11.9122,0.0,0,20.11,0.0585
20,E2C,6,11.4347,0.0,0,20.95,0.0714
20,W2C,6,10.971,0.0,0,21.84,0.078
21,N2C,5,12.6887,0.0,0,18.88,0.0473
21,S2C,5,12.2827,0.0,0,19.51,0.0531
21,E2C,6,10.8747,0.0,0,22.03,0.0794
21,W2C,6,10.4037,0.0,0,23.03,0.0862
22,N2C,5,12.5818,0.0,0,19.04,0.0488
22,S2C,5,11.9925,0.0,0,19.98,0.0573
22,E2C,6,10.473,1.0,1,22.88,0.0919
22,W2C,6,10.1889,1.0,1,23.52,0.096
23,N2C,5,12.499,0.0,0,19.17,0.05
23,S2C,6,12.4105,0.0,0,19.31,0.0573
23,E2C,7,10.2064,2.0,1,23.48,0.1024
23,W2C,7,10.6116,2.0,1,22.58,0.0965
24,N2C,5,12.2474,0.0,0,19.56,0.0537
24,S2C,6,11.9158,0.0,0,20.11,0.0644
24,E2C,7,9.6537,3.0,1,24.82,0.111
24,W2C,7,10.5724,3.0,1,22.66,0.0978
25,N2C,5,12.4449,0.0,0,19.25,0.0508
25,S2C,6,11.9999,0.0,0,19.97,0.0632
25,E2C,7,8.8722,5.0,2,27.01,0.1296
