time,edge,vehicles,speed,waiting,halting,traveltime,congestion
25,W2C,9,9.5745,4.0,1,25.02,0.1248
26,N2C,7,12.6205,0.0,0,18.98,0.0603
26,S2C,7,12.5914,0.0,0,19.03,0.0607
26,E2C,9,8.5987,7.0,2,27.86,0.1469
26,W2C,9,8.3551,5.0,1,28.68,0.143
27,N2C,6,12.6243,0.0,0,18.98,0.0542
27,S2C,7,12.4383,0.0,0,19.26,0.0629
27,E2C,9,7.9387,9.0,2,30.18,0.1577
27,W2C,9,8.2675,6.0,1,28.98,0.145
28,N2C,6,12.712,0.0,0,18.85,0.053
28,S2C,6,12.5668,0.0,0,19.07,0.0551
28,E2C,10,8.378,12.0,3,28.6,0.1654
28,W2C,10,8.2532,9.0,3,29.03,0.1652
29,N2C,6,12.6325,0.0,0,18.97,0.0541
29,S2C,6,12.8113,0.0,0,18.7,0.0515
29,E2C,10,7.8396,15.0,3,30.56,0.1751
29,W2C,10,8.3455,12.0,3,28.71,0.1658
30,N2C,6,12.2312,0.0,0,19.59,0.0599
30,S2C,6,12.6881,0.0,0,18.88,0.0533
30,E2C,10,7.4666,18.0,3,32.09,0.1825
30,W2C,10,7.4799,15.0,3,32.03,0.1803
31,N2C,7,12.4302,0.0,0,19.28,0.063
31,S2C,7,12.4601,0.0,0,19.23,0.0626
31,E2C,11,7.8432,21.0,3,30.55,0.1851
31,W2C,11,7.4283,18.0,3,32.26,0.189
32,N2C,7,12.6472,0.0,0,18.94,0.0599
32,S2C,7,11.8858,0.0,0,20.16,0.0709
32,E2C,11,7.3761,25.0,4,32.48,0.2005
32,W2C,11,6.9568,22.0,4,34.44,0.2045
33,N2C,7,11.9485,0.0,0,20.05,0.07
33,S2C,7,11.1015,0.0,0,21.58,0.0822
33,E2C,11,6.8291,29.0,4,35.08,0.211
33,W2C,11,6.7933,27.0,5,35.27,0.2162
34,N2C,8,10.9824,0.0,0,21.82,0.0899
34,S2C,8,10.4371,1.0,1,22.96,0.1044
34,E2C,10,8.3892,11.0,3,28.56,0.1645
34,W2C,10,8.598,12.0,3,27.87,0.1622
35,N2C,8,10.2863,0.0,0,23.29,0.0999
35,S2C,8,9.7794,2.0,1,24.5,0.1145
35,E2C,10,8.0878,2.0,1,29.62,0.1509
35,W2C,10,8.6561,3.0,1,27.68,0.1434
36,N2C,8,9.5049,1.0,1,25.21,0.1178
36,S2C,8,9.4685,3.0,1,25.3,0.1197
36,E2C,10,8.6011,0.0,0,27.86,0.1362
36,W2C,10,8.216,0.0,0,29.16,0.1417
37,N2C,9,9.9208,3.0,2,24.15,0.1252
37,S2C,9,9.6844,4.0,1,24.74,0.1232
37,E2C,9,9.9278,0.0,0,24.13,0.1111
37,W2C,9,9.775,0.0,0,24.51,0.1133
38,N2C,9,9.7479,5.0,2,24.58,0.129
38,S2C,9,9.5794,5.0,1,25.01,0.1254
38,E2C,9,9.6383,0.0,0,24.86,0.1152
38,W2C,9,9.5849,0.0,0,25.0,0.116
39,N2C,9,9.3465,7.0,2,25.64,0.1361
39,S2C,9,9.061,7.0,2,26.44,0.1402
39,E2C,9,9.7181,0.0,0,24.65,0.1141
39,W2C,8,10.3076,0.0,0,23.24,0.0996
40,N2C,10,8.9072,9.0,2,26.9,0.1497
40,S2C,10,9.0656,9.0,2,26.43,0.1475
40,E2C,8,11.4134,0.0,0,20.99,0.0837
40,W2C,8,11.4966,0.0,0,20.84,0.0825
41,N2C,10,7.5544,11.0,2,31.72,0.1706
41,S2C,10,8.1293,11.0,2,29.47,0.1623
41,E2C,8,11.5908,0.0,0,20.67,0.0811
41,W2C,7,11.7389,0.0,0,20.41,0.073
42,N2C,10,7.1338,13.0,2,33.59,0.1779
42,S2C,10,7.184,13.0,2,33.35,0.1772
42,E2C,6,12.2843,0.0,0,19.5,0.0591
42,W2C,6,12.5437,0.0,0,19.1,0.0554
43,N2C,11,7.1582,17.0,4,33.47,0.1983
43,S2C,11,7.296,17.0,4,32.84,0.1963
43,E2C,7,12.8564,0.0,0,18.64,0.0569
43,W2C,7,12.4826,0.0,0,19.19,0.0623
44,N2C,11,6.9792,21.0,4,34.33,0.2035
44,S2C,11,6.7644,21.0,4,35.42,0.2066
44,E2C,6,12.9978,0.0,0,18.43,0.0488
44,W2C,6,12.9384,0.0,0,18.52,0.0497
45,N2C,11,6.6518,26.0,5,36.02,0.2176
45,S2C,11,6.5251,26.0,5,36.72,0.2194
45,E2C,6,12.9929,0.0,0,18.44,0.0489
45,W2C,6,12.5935,0.0,0,19.03,0.0547
46,N2C,12,6.899,31.0,5,34.73,0.2233
46,S2C,12,6.7919,31.0,5,35.28,0.2249
46,E2C,6,13.2549,0.0,0,18.08,0.0451
46,W2C,7,12.7655,0.0,0,18.77,0.0582
47,N2C,12,5.9581,36.0,5,40.21,0.2402
47,S2C,12,6.2481,37.0,6,38.35,0.2427
47,E2C,6,12.82,0.0,0,18.69,0.0514
47,W2C,7,12.8146,0.0,0,18.7,0.0575
48,N2C,12,5.759,42.0,6,41.6,0.2531
48,S2C,12,5.9926,43.0,6,39.98,0.2504
48,E2C,6,13.0063,0.0,0,18.42,0.0487
48,W2C,6,12.7626,0.0,0,18.77,0.0522
49,N2C,13,5.7551,48.0,6,41.63,0.2631
49,S2C,13,6.309,49.0,6,37.98,0.2558
49,E2C,6,12.6799,0.0,0,18.9,0.0534
49,W2C,6,12.8959,0.0,0,18.58,0.0503
50,N2C,13,5.4331,54.0,6,44.1,0.2718
50,S2C,13,5.7233,55.0,6,41.86,0.2683
50,E2C,6,12.9471,0.0,0,18.51,0.0496
50,W2C,6,12.5702,0.0,0,19.06,0.055
51,N2C,13,5.091,61.0,7,47.06,0.2874
51,S2C,13,5.3027,61.0,6,45.18,0.2783
51,E2C,6,12.5433,0.0,0,19.1,0.0554
51,W2C,6,12.9685,0.0,0,18.48,0.0493
52,N2C,14,5.503,68.0,7,43.54,0.2921
52,S2C,14,5.5578,68.0,7,43.11,0.2913
52,E2C,6,12.5657,0.0,0,19.07,0.0551
52,W2C,7,13.0119,0.0,0,18.41,0.0546
53,N2C,14,5.3421,76.0,8,44.85,0.3057
53,S2C,14,5.4485,76.0,8,43.98,0.3042
53,E2C,6,12.5871,0.0,0,19.04,0.0548
53,W2C,7,12.5996,0.0,0,19.02,0.0606
54,N2C,14,5.3171,84.0,8,45.06,0.3114
54,S2C,14,5.3159,84.0,8,45.07,0.3115
54,E2C,6,12.3996,0.0,0,19.32,0.0575
54,W2C,6,12.9791,0.0,0,18.46,0.0491
55,N2C,15,5.5154,92.0,8,43.44,0.3199
55,S2C,15,5.699,92.0,8,42.04,0.3173
55,E2C,7,12.8328,0.0,0,18.67,0.0572
55,W2C,6,12.9754,0.0,0,18.47,0.0492
56,N2C,15,4.8963,100.0,8,48.94,0.3342
56,S2C,15,5.1369,100.0,8,46.64,0.3307
56,E2C,7,12.7437,0.0,0,18.8,0.0585
56,W2C,6,12.6977,0.0,0,18.87,0.0532
57,N2C,15,4.4874,108.0,8,53.39,0.3454
